file,line,quoted_sentence,classification,action_taken
content/indoor-air-quality-testing.mdx,67,"| RAE MiniRAE 3000 | VOCs (PID) | ±3% | $1,200 | Professional VOC assessment |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/indoor-air-quality-testing.mdx,125,"Testing revealed PM2.5 spikes to 85 μg/m³ during cooking (2.4× limit), VOCs at 750 μg/m³ in master bedroom from memory foam mattress, and basement radon at 6.8 pCi/L. Solutions: range hood upgrade ($400), mattress replacement ($800), radon mitigation system ($1,200). Post-remediation testing showed ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/indoor-air-quality-testing.mdx,178,"| 4-8 pCi/L | Active soil depressurization | $1,200-1,500 | 95% reduction | Fan check every 2 years |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/indoor-air-quality-testing.mdx,179,"| >8 pCi/L | Sub-slab + pressurization | $2,000-3,000 | 99% reduction | Quarterly monitoring |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/indoor-air-quality-testing.mdx,201,"| Whole-house HEPA | $2,000 | $200 | 99% particle removal | 2-3 years |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-for-bedroom.mdx,35,"| 1 | Mitsubishi MSZ-FH 09 | 9,000 | 19 dB | 33.1 | Yes (auto temp adjust) | $1,600–$2,000 | $3,000–$4,200 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-for-bedroom.mdx,37,"| 3 | Fujitsu RLS3H 09 | 9,000 | 19 dB | 33.0 | Yes | $1,200–$1,600 | $2,600–$3,600 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-for-bedroom.mdx,39,"| 5 | MrCool DIY 4th Gen 12K | 12,000 | 25 dB | 22.0 | Basic (timer) | $1,100–$1,500 | $1,300–$2,000 (DIY) |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,28,"Senville offers the cheapest inverter mini splits in the North American market, with the SENL-12CD available for $600–$900 — roughly one-third the price of Mitsubishi and half the price of MrCool. Per the Senville LETO spec sheet, the SENL-12CD is rated **21.2 SEER2 (115V) / 21.3 SEER2 (230V)** with",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,49,| Price | $600–$900 | Distributor listings |,OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,55,"**Unbeatable price.** The SENL-12CD at $600–$900 is the cheapest inverter mini split that actually performs. That's $400–$600 less than MrCool and $900–$1,300 less than Mitsubishi for the equipment alone.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,77,"- Senville LETO SENL-12CD is **21.2/21.3 SEER2, R-454B, 10/10 warranty** per the manufacturer spec sheet — solid specs for a unit at $600–$900.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,79,"- The federal 25C tax credit ended for installs after Dec 31, 2025. For 2026 installations, look at state and utility rebates and the IRA HOMES/HEAR programs instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,105,"question: ""Are there tax credits available?"",",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,106,"answer: ""The federal Section 25C credit expired for installs placed in service after December 31, 2025 (terminated by the OBBBA, Public Law 119-21, signed July 4, 2025). For 2026 installations, the live federal programs are HOMES and HEAR (income-qualified up to $8,000); state and utility rebates of",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,85,"At $600–$900 for the equipment, the Senville LETO SENL-12CD has spec-sheet-verified specs that beat what most buyers expect at this price.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,99,| Price | $600–$900 | Distributor listings |,OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,165,"- **The federal Section 25C credit expired** for installs after Dec 31, 2025. For 2026 installs, the active federal pathways are HOMES and HEAR/HEEHRA rebates.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,212,"{ label: ""IRS — Energy Efficient Home Improvement Credit (Section 25C)"", url: ""https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit"" }",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/cassette-ceiling-air-conditioners.mdx,40,"| 5 | Carrier/Midea Cassette | 9K–36K | 18.0 | 29 dB | 24"" × 24"" | $1,200–$2,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
