page,file_line,brand,model,spec_type,stated_value,verified_value,status,source,cert_ref,notes
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS,SEER2,40.1,Range 26.1 (12K) - 32.2 (6K),AHRI-VERIFIED,AHRI Directory / manufacturer spec sheet,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS,dB indoor (low),19,~19-22,OK-RETAINED,manufacturer spec,,noise spec OK / not addressed by locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS Hyper-Heat,Min heat °F,-13,-13 (selected variants),OK-RETAINED,manufacturer spec (H2i),,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,38,Mitsubishi,MSZ-FS (12K),SEER2,40.1,26.1-26.3,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,38,Mitsubishi,MSZ-FS (12K),Price USD,2000-2600,~1900-2700,OK-RETAINED,retailer surveys,,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,Fujitsu,RLS3H (12K),SEER2,33.0,up to 33.1 SEER2 / 13.3 HSPF2 / -15F / R-32,B1-FINAL,fujitsugeneral.com,,B1: moved from PENDING-RESEARCH to verified with line-distinction note.
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,Fujitsu,RLS3H (12K),Price USD,1400-1800,~1400-1900,PENDING-RESEARCH,retailer surveys,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,MrCool,DIY 4th Gen (12K),SEER2,22.0,23.5 SEER2 / R-454B / cold-climate cert,B5-FINAL,mrcool.com,,B5: moved from PENDING-RESEARCH to verified; 4th Gen R-410A legacy / 5th Gen R-454B current distinction.
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,MrCool,DIY 4th Gen (12K),Price USD,1100-1500,~1100-1500,PENDING-RESEARCH,retailer surveys,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,41,Mitsubishi,MSZ-FH (H2i),SEER2,33.1,~33,PENDING-AHRI,AHRI Directory,,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,41,Mitsubishi,MSZ-FH (H2i),Capacity at 5°F,100%,100% at 5°F (rated),OK-RETAINED,manufacturer spec,,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),SEER2,25.5,20-21 SEER2,AHRI-VERIFIED,AHRI #215710688 / manufacturer,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),Warranty (yrs),12,12 (parts) when registered,AHRI-VERIFIED,manufacturer,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),HSPF2,13.0,10.2-10.5,AHRI-VERIFIED,AHRI / manufacturer,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,44,Senville,SENL-12CD,SEER2,19.0,21.2-21.3,CORRECTED,manufacturer / Amazon / AHRI cert,,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,44,Senville,SENL-12CD,Price USD,600-900,~700-1000,OK-RETAINED,retailer surveys,,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,51,Mitsubishi,MSZ-FS,SEER2,40.1,26.1-32.2 across line,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,51,Mitsubishi,MSZ-FS,HSPF2,14.2,~11.9 (6K) / ~10.5-11 (12K),AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,56,Mitsubishi,MSZ-FS12,SEER2,40.1,26.1-26.3,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
