gate4_section,page,brand,model,prior_status,verified_value,primary_source,gate4_notes
A,content/tax-credits-rebates/hvac-rebates-by-state.mdx,IRS,Section 25D,NEEDS-VERIFICATION,Expired Dec 31 2025 (OBBBA); no grandfather; carryforward of pre-2026 credit survives,IRS OBBB FAQ; Congress.gov CRS IN12611,"A1: 25D resolved — expired for property placed in service after Dec 31 2025 under OBBBA. Trigger is ""placed in service"" (deposit in 2025 + install in 2026 does NOT qualify). Geothermal heat pumps no longer federally credited for 2026 installs. Carryforward of pre-2026 25D credit still allowed."
A,content/tax-credits-rebates/hvac-tax-credits-2026.mdx,IRS,Section 25D,NEEDS-VERIFICATION,Expired Dec 31 2025,IRS OBBB FAQ,"A1: same resolution applied across 6 spots (hero, 25D bucket, timeline table, key takeaway, FAQ on 2026 credits, 25D carryforward FAQ)."
A,content/tax-credits-rebates/25c-tax-credit-explained.mdx,IRS,Section 45L,NEEDS-VERIFICATION,STILL ACTIVE — terminates for homes acquired after June 30 2026; builder credit ($500-$5000),IRS / Congress.gov CRS IN12611,"A2: 45L correctly framed as still-active BUILDER credit (not homeowner) with June 30 2026 termination for acquisition (not install/place-in-service like 25C/25D)."
A,content/tax-credits-rebates/hvac-tax-credits-2026.mdx,IRS,Section 179D,NEEDS-VERIFICATION,Terminates for construction begun after June 30 2026 (commercial),IRS / Congress.gov CRS IN12611,"A3: 179D commercial deduction added to timeline as separate from residential."
A,content/heat-pumps/heat-pump-tax-credits-2026.mdx,IRS,Section 25D,NEEDS-VERIFICATION,Expired Dec 31 2025; carryforward survives,IRS OBBB FAQ,"A1: 25D expired language applied across 4 spots (sources line, 25D section body, key takeaway bullet, FAQ)."
A,Multiple (~25 files),Retailer-style,"""$2000 federal credit""",STALE,Reframed to ""25C expired Dec 31 2025; state/utility rebates + IRA HEAR/HOMES are active 2026 pathways"",IRS OBBB FAQ,"A4: dead 25C retailer-style ""$2000 federal credit"" sweep across mini-split files, electrical files, energy-efficiency-ratings files, refrigerant files, hvac-costs-by-state files. Real-world examples (Maria/CT, Chen/Atlanta) where $2000 was integral to the math reframed to ""October 2025 install before OBBBA termination."""
B1,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Fujitsu,XLTH (9/12/15RLS3H + KZAH1),"FALSE: 14.2 HSPF2 (""highest of any residential unit"")",up to 33.1 SEER2 / 13.3 HSPF2 / -15F / R-32,fujitsugeneral.com,"B1: HSPF2 corrected 14.2 → 13.3 (and ""highest"" claim removed — no certified residential mini split reaches 14.2). Re-added as legitimate cold-climate efficiency pick with verified specs + warranty: 7yr comp/5yr parts out-of-box; 10/10 registered; 12/12 Elite contractor."
B1,content/heat-pumps/best-mini-split-heat-pumps.mdx,Fujitsu,XLTH,FALSE: 33.0 SEER2 / 14.2 HSPF2,up to 33.1 SEER2 / up to 13.3 HSPF2,fujitsugeneral.com,"B1: same correction applied to comparison table + Best Cold Climate section + Key Takeaways."
B1,content/heat-pumps/heat-pump-in-cold-weather.mdx,Fujitsu,XLTH,FALSE: XLTH operates at -22F (footnote) / HSPF2 14.2 (FAQ),-15F operating range; up to 13.3 HSPF2,fujitsugeneral.com,"B1: -22F footnote corrected (XLTH is -15F per Fujitsu General spec); FAQ updated with verified specs + source."
B1,content/ac-sizing-selection/heat-pump-size-calculator.mdx,Fujitsu,XLTH,FALSE: 12-14 HSPF2 / 20-33 SEER2,up to 33.1 SEER2 / up to 13.3 HSPF2,fujitsugeneral.com,"B1: comparison table row corrected. IRA tax credits callout also updated to reflect §A 25C expiration."
