page,file_line,brand,model,spec_type,stated_value,primary_source,verified_value,status,notes,gate2_status,gate2_notes
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS,SEER2,40.1,AHRI Directory / manufacturer spec sheet,Range 26.1 (12K) - 32.2 (6K),WRONG,"Site claims ""industry-leading 40.1 SEER2"". No MSZ-FS variant achieves 40 SEER2. Highest in line: MSZ-FS06 at 32.2 SEER2. MSZ-FS12 (the variant the site is actually pricing in the table) is 26.1-26.3 SEER2. Off by ~14 SEER2 (53% inflated).",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS,dB indoor (low),19,manufacturer spec,~19-22,OK,"19 dB on low is plausible for premium MSZ wall-mounted units.",OK-RETAINED,noise spec OK / not addressed by locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,28,Mitsubishi,MSZ-FS Hyper-Heat,Min heat °F,-13,manufacturer spec (H2i),-13 (selected variants),OK,"Mitsubishi H2i / H2i Plus rated to -13°F is correct.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,38,Mitsubishi,MSZ-FS (12K),SEER2,40.1,AHRI Directory,26.1-26.3,WRONG,"Repeats the 40.1 claim in the rankings table. Off by ~14 SEER2.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,38,Mitsubishi,MSZ-FS (12K),Price USD,2000-2600,retailer surveys,~1900-2700,OK,"Equipment-only price range is realistic for a 12K Mitsubishi premium unit.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,Fujitsu,RLS3H (12K),SEER2,33.0,AHRI Directory / manufacturer,~29-33 (varies by size),UNVERIFIABLE,"Plausible for a 9K RLS3H/AIRSTAGE Altair variant; verify AHRI cert number for the specific 12K SKU before keeping.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,Fujitsu,RLS3H (12K),Price USD,1400-1800,retailer surveys,~1400-1900,OK,"Realistic pricing.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,MrCool,DIY 4th Gen (12K),SEER2,22.0,manufacturer spec / AHRI,~20-22,OK,"MrCool 4th Gen 12K at 22 SEER2 is plausible per manufacturer listing.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,40,MrCool,DIY 4th Gen (12K),Price USD,1100-1500,retailer surveys,~1100-1500,OK,"Realistic for DIY kit pricing.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,41,Mitsubishi,MSZ-FH (H2i),SEER2,33.1,AHRI Directory,~33,OK,"33.1 SEER2 for a MSZ-FH (H2i) variant is roughly correct per published listings.",PENDING-AHRI,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,41,Mitsubishi,MSZ-FH (H2i),Capacity at 5°F,100%,manufacturer spec,100% at 5°F (rated),OK,"Hyper-Heat models are rated at 100% capacity at 5°F.",OK-RETAINED,passed audit; left in place
